0 1 2
1 2 1
2 3 6
3 4 3
4 5 2
5 6 1
6 7 3
7 8 2
8 9 1
9 10 3
10 11 4
11 12 1
12 13 2
13 14 3
14 15 4
15 16 2
16 17 3
17 18 6
18 19 7 
19 20 5
20 21 4
21 0 7
0 22 6
22 23 5
20 24 4
24 23 4 
23 25 2
25 26 1
26 27 5
27 28 8
28 5 9
26 29 5
29 30 3
30 31 4
31 32 5
32 33 2
33 9 3
31 34 5
34 35 6
35 7 5
30 36 7
36 37 3
37 47 2
47 18 4
37 38 5
38 39 6
39 40 9
40 11 1
39 41 1
41 13 2
39 42 3
42 43 4
43 44 3
44 14 3
42 45 6
45 46 7
46 15 5
45 17 6
48 49 6
49 50 4
50 51 4
51 52 2
52 53 1
53 54 3
54 55 7
55 56 8
56 57 8
57 58 4
58 59 4
59 60 5
60 61 6
59 61 6
61 62 3
62 63 2
63 55 1
52 64 1
64 56 7
50 65 8
65 57 6
48 66 5
66 58 4
